Sequence,label
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 4 2 2 2 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 26 11 9 26 26 3 4 3 3 4 3 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 4 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 26 11 9 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 26 11 9 11 9 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26,0
5 5 22 11 9 5 11 9 11 9 26 26 26,0
22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21,0
5 22 5 5 11 9 26 11 9 11 9 26 26 2 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21,0
5 5 5 22 26 11 9 11 9 11 9 26 26,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 26 26 26 11 9 23 23 23 21 21 21,0
22 5 5 5 26 26 11 9 11 9 11 9 26 3 4 3 3 3 4 3 3 4 23 23 23 21 21 21,0
22 5 5 5 26 11 9 26 26 11 9 11 9 3 3 4 3 3 4 3 3 4 3 4 3 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 3 3 3 3 3 3 3 3 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21,0
22 5 5 5 11 9 26 26 26 11 9 11 9 3 3 4 3 3 4 3 3 4 23 23 23 21 21 21,0
22 5 5 5 26 11 9 11 9 26 26 11 9 4 3 4 2 2 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 3 4 3 4 3 3 3 3 4 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 4 4 3 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 2 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 22 5 5 9 11 9 11 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
22 5 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
22 5 5 5 11 9 11 9 11 9 26 26 26,0
22 5 5 5 26 11 9 11 9 11 9 26 26 2 4 4 3 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 26 11 9 11 9 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 26 11 9 11 9 26 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 3 4 3 3 3 4 3 4 3 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 2 4 3 4 23 23 23 21 21 21,0
22 5 5 5 26 26 11 9 11 9 26 11 9 4 3 4 2 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 26 26 11 9 26 4 3 4 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 26 26 11 9 26,0
22 5 5 5 26 26 26 11 9 11 9 11 9 3 2 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 4 4 3 2 2 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26 4 3 3 2 3 3 4 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26 4 4 3 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 4 4 3 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 3 4 3 3 3 4 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 22 5 5 11 9 26 26 26 11 9 11 9 4 4 3 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 26 26 11 9 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 22 5 5 11 9 26 11 9 11 9 26 26 23 23 23 21 21 21,0
22 5 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26,0
5 22 5 5 11 9 11 9 11 9 26 26 26,0
22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 4 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26,0
5 5 22 5 26 11 9 11 9 11 9 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26,0
5 22 5 5 11 9 26 26 11 9 11 9 26 3 4 3 3 4 3 23 23 23 21 21 21,0
5 22 5 5 11 9 11 11 9 9 26 26 26 23 23 23 21 21 21,0
22 5 5 5 26 26 26 11 9 11 9 11 9 2 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 26 26 11 9 26,0
22 5 5 5 11 9 11 9 26 26 26 11 9 3 3 4 3 4 3 4 3 3 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 2 4 4 3 2 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26 4 4 3 2 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 22 5 11 9 11 9 11 9 26 26 26 2,0
22 5 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21,0
5 5 22 5 26 11 9 11 9 11 9 26 26 23 23 23 21 21 21,0
5 5 5 22 11 9 11 9 11 9 26 26 26 2 23 23 23 21 21 21,0
